GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-autenticacion,cl.eventos.ms_autenticacion.service,UsuarioService,0,239,0,8,0,62,0,14,0,10
ms-autenticacion,cl.eventos.ms_autenticacion.config,JwtUtils,54,0,0,0,19,0,5,0,5,0
ms-autenticacion,cl.eventos.ms_autenticacion.config,OpenApiConfig,38,0,0,0,9,0,2,0,2,0
ms-autenticacion,cl.eventos.ms_autenticacion.config,SecurityConfig,52,0,0,0,9,0,5,0,5,0
ms-autenticacion,cl.eventos.ms_autenticacion.controller,UsuarioController,14,195,2,12,4,46,2,15,0,10
ms-autenticacion,cl.eventos.ms_autenticacion,MsAutenticacionApplication,5,3,0,0,2,1,1,1,1,1
ms-autenticacion,cl.eventos.ms_autenticacion.exception,GlobalExceptionHandler,41,3,0,0,8,1,3,1,3,1
ms-autenticacion,cl.eventos.ms_autenticacion.model,Rol,0,39,0,0,0,7,0,1,0,1
ms-autenticacion,cl.eventos.ms_autenticacion.model,Usuario,4,0,0,0,2,0,1,0,1,0
