GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,cl.eventos.ms_soporte.controller,TicketSoporteController,0,71,0,4,0,18,0,8,0,6
,cl.eventos.ms_soporte,MsSoporteApplication,5,3,0,0,2,1,1,1,1,1
,cl.eventos.ms_soporte.exception,GlobalExceptionHandler,36,3,0,0,7,1,3,1,3,1
,cl.eventos.ms_soporte.service,TicketSoporteService,0,165,0,2,0,48,0,10,0,9
