GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,cl.eventos.ms_ordenes.controller,OrdenController,0,91,0,4,0,19,0,11,0,9
,cl.eventos.ms_ordenes.service,OrdenService,0,233,0,18,0,47,0,16,0,7
,cl.eventos.ms_ordenes,MsOrdenesApplication,5,3,0,0,2,1,1,1,1,1
,cl.eventos.ms_ordenes.exception,GlobalExceptionHandler,36,3,0,0,8,1,4,1,4,1
