GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,cl.eventos.ms_usuarios.service,UsuarioService,0,202,0,2,0,55,0,10,0,9
,cl.eventos.ms_usuarios.controller,UsuarioController,0,71,0,4,0,18,0,8,0,6
,cl.eventos.ms_usuarios,MsUsuariosApplication,5,3,0,0,2,1,1,1,1,1
,cl.eventos.ms_usuarios.exception,GlobalExceptionHandler,36,3,0,0,7,1,3,1,3,1
