GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,cl.eventos.ms_checkin.exception,GlobalExceptionHandler,45,3,0,0,9,1,3,1,3,1
,cl.eventos.ms_checkin.model,CheckIn,4,0,0,0,2,0,1,0,1,0
,cl.eventos.ms_checkin.controller,CheckInController,0,116,0,4,0,28,0,10,0,8
,cl.eventos.ms_checkin,MsCheckinApplication,5,3,0,0,2,1,1,1,1,1
,cl.eventos.ms_checkin.service,CheckInService,0,143,0,10,0,35,0,13,0,8
