GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,cl.eventos.ms_pagos.service,PagoService,0,249,0,8,0,45,0,19,0,15
,cl.eventos.ms_pagos.controller,PagoController,0,156,0,8,0,34,0,10,0,6
,cl.eventos.ms_pagos,MsPagosApplication,5,3,0,0,2,1,1,1,1,1
,cl.eventos.ms_pagos.model,Pago,10,0,2,0,4,0,2,0,1,0
,cl.eventos.ms_pagos.exception,GlobalExceptionHandler,26,3,0,0,5,1,1,1,1,1
